ID,RECARGA
19026,0.84
34757,0.52
131023,0.97
138822,0.91
101551,0.1
185084,0.96
157602,0.95
76498,0.36
89771,0.66
92075,0.22
67181,0.73
25135,0.76
54041,0.69
84551,0.56
197184,0.97
7992,0.56
17370,0.73
149116,0.94
127454,0.95
4783,0.63
198225,0.93
58605,0.84
190768,0.96
131044,0.92
16909,0.3
162556,0.96
81614,0.07
204696,0.97
98612,0.35
166010,0.96
163280,0.97
194892,0.89
187386,0.97
95615,0.73
38117,0.78
112222,0.02
28966,0.85
144799,0.95
182186,0.94
183445,0.94
71679,0.9
40181,0.52
157905,0.96
82697,0.55
14076,0.62
77831,0.59
96830,0.52
82580,0.01
17711,0.77
27038,0.85
75055,0.76
179944,0.97
35120,0.67
69837,0.87
51589,0.74
48195,0.74
93728,0.23
57734,0.79
144531,0.94
23818,0.81
90342,0.74
27078,0.13
52792,0.75
138209,0.92
19778,0.69
194417,0.92
53537,0.79
62709,0.69
82335,0.44
97429,0.61
175000,0.95
24253,0.81
3101,0.61
108640,0.56
9724,0.4
203367,0.97
50063,0.77
129502,0.96
113102,0.02
192903,0.89
12637,0.54
55031,0.92
130994,0.93
71515,0.71
206163,0.9
203325,0.93
137283,0.93
83309,0.09
80875,0.01
57735,0.86
9834,0.54
159969,0.95
69962,0.78
164041,0.97
171129,0.96
45850,0.67
25484,0.77
152776,0.95
75590,0.78
159992,0.88
151341,0.6
176686,0.93
129856,0.95
196020,0.97
200189,0.96
191724,0.91
45465,0.71
83522,0.01
134193,0.95
182294,0.91
128891,0.95
45872,0.68
161040,0.89
17443,0.74
120266,0.8
185893,0.93
65695,0.72
141172,0.86
205579,0.96
57845,0.67
11790,0.78
120268,0.52
72995,0.72
57875,0.84
26097,0.64
123434,0.9
198657,0.97
107534,0.65
87718,0.01
178795,0.92
120546,0.1
49563,0.58
71117,0.79
20169,0.65
72379,0.62
100510,0.27
61192,0.74
155823,0.97
92182,0.18
44202,0.82
48773,0.7
208317,0.94
144632,0.91
41132,0.65
19442,0.81
87080,0.02
194630,0.91
36589,0.61
173209,0.96
149845,0.91
136074,0.95
113514,0.86
205395,0.97
33137,0.66
160098,0.97
130106,0.95
90153,0.09
75577,0.77
61218,0.86
147381,0.94
88335,0.38
342,0.83
15719,0.84
92111,0.38
43066,0.88
91841,0.43
101053,0.01
206143,0.92
100513,0.35
189372,0.89
54992,0.75
170614,0.95
14585,0.78
18507,0.8
153721,0.94
200058,0.95
160407,0.9
53650,0.76
19874,0.75
47517,0.43
207778,0.95
62774,0.52
89665,0.7
149293,0.95
20141,0.51
112996,0.23
63600,0.68
51350,0.86
171981,0.93
181725,0.95
128468,0.97
137185,0.97
125525,0.95
93099,0.78
164414,0.91
201459,0.95
108939,0.03
7268,0.7
12833,0.68
102187,0.78
103045,0.03
107497,0.01
23671,0.09
8371,0.69
49346,0.65
14641,0.84
74663,0.87
23099,0.73
21128,0.65
94252,0.03
123585,0.98
83360,0.75
149824,0.97
101239,0.01
203520,0.94
156710,0.95
